@TYPE,@VALIDATED,@DATEVALIDATED,@ALLOWAUTOMATICDELETION,@WHENCREATED,@DESCRIPTION,@EXPORTFLAG,@WHENUPDATED,@UNIQUEIDENTIFIER,@NAME,@TEMPLATE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:26,,0,2020-03-31T15:18:26,dcfec810736211ea80ee000d3a02ed0d,,0,4e3c7f2f736211ea80ee000d3a02ed0d,ENTITY,4e3c7f21736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:26,,0,2020-03-31T15:18:26,dcfec811736211ea80ee000d3a02ed0d,,0,4e3c7f31736211ea80ee000d3a02ed0d,ENTITY,4e3c7f21736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:26,,0,2020-03-31T15:18:26,dcfec812736211ea80ee000d3a02ed0d,,0,4e3c7f39736211ea80ee000d3a02ed0d,ENTITY,4e3c7f37736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:26,,0,2020-03-31T15:18:26,dcfec813736211ea80ee000d3a02ed0d,,0,4e3c7f43736211ea80ee000d3a02ed0d,ENTITY,4e3c7f41736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:26,,0,2020-03-31T15:18:26,dcfec814736211ea80ee000d3a02ed0d,,0,4e3c7f45736211ea80ee000d3a02ed0d,ENTITY,4e3c7f41736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:26,,0,2020-03-31T15:18:26,dcfec815736211ea80ee000d3a02ed0d,,0,4e3c7f51736211ea80ee000d3a02ed0d,ENTITY,4e3c7f4f736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:26,,0,2020-03-31T15:18:26,dcfec816736211ea80ee000d3a02ed0d,,0,4e3c7f73736211ea80ee000d3a02ed0d,ENTITY,4e3c7f71736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec817736211ea80ee000d3a02ed0d,,0,4e3c7f75736211ea80ee000d3a02ed0d,ENTITY,4e3c7f71736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec818736211ea80ee000d3a02ed0d,,0,543573da736211ea80ee000d3a02ed0d,ENTITY,543573d8736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec819736211ea80ee000d3a02ed0d,,0,543573dc736211ea80ee000d3a02ed0d,ENTITY,543573d8736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec81a736211ea80ee000d3a02ed0d,,0,543573e0736211ea80ee000d3a02ed0d,ENTITY,543573de736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
