@TYPE,@DESCRIPTION,@VALIDATED,@WHENCREATED,@NAME,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@UNIQUEIDENTIFIER,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,2018-05-01T03:11:38,,0,0,1899-12-30T00:00:00,0,57c44c214ced11e880d5000d3a02ed0d,2018-05-01T03:11:38,f65a6d7e41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e950cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:39,,0,0,1899-12-30T00:00:00,0,57c44c224ced11e880d5000d3a02ed0d,2018-05-01T03:11:39,f65a6d7c41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e950cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:39,,0,0,1899-12-30T00:00:00,0,57c44c234ced11e880d5000d3a02ed0d,2018-05-01T03:11:39,f65a6d6541a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e950cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:40,,0,0,1899-12-30T00:00:00,0,57c44c244ced11e880d5000d3a02ed0d,2018-05-01T03:11:40,f65a6d4041a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e877cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:40,,0,0,1899-12-30T00:00:00,0,57c44c254ced11e880d5000d3a02ed0d,2018-05-01T03:11:40,f65a6d6d41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e950cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:41,,0,0,1899-12-30T00:00:00,0,57c44c264ced11e880d5000d3a02ed0d,2018-05-01T03:11:41,f65a6d0d41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e877cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:41,,0,0,1899-12-30T00:00:00,0,5e0d9f204ced11e880d5000d3a02ed0d,2018-05-01T03:11:41,fc5350f841a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e846cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:42,,0,0,1899-12-30T00:00:00,0,5e0d9f214ced11e880d5000d3a02ed0d,2018-05-01T03:11:42,fc53507441a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e836cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:43,,0,0,1899-12-30T00:00:00,0,5e0d9f234ced11e880d5000d3a02ed0d,2018-05-01T03:11:43,f65a6d8e41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e954cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:43,,0,0,1899-12-30T00:00:00,0,5e0d9f244ced11e880d5000d3a02ed0d,2018-05-01T03:11:43,f65a6d2f41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e877cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:44,,0,0,1899-12-30T00:00:00,0,5e0d9f254ced11e880d5000d3a02ed0d,2018-05-01T03:11:44,024c5c8541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:44,,0,0,1899-12-30T00:00:00,0,5e0d9f264ced11e880d5000d3a02ed0d,2018-05-01T03:11:44,fc53509641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e93acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
