@VALIDATED,@DESCRIPTION,@NAME,@EXPORTFLAG,@UNIQUEIDENTIFIER,@FORMULA,@WHENCREATED,@WHENUPDATED,@DATEVALIDATED,@TEMPLATE,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
-1,,Triangle,32,3be06200d311447b9022fd49db9402cf,,1990-01-01T06:00:00,2000-01-01T08:00:00,2000-01-01T08:00:00,0,ADMIN,ADMIN,ADMIN
-1,,Flat,32,666bc672e497492c9f5bf9ec60003ed7,,1990-01-01T06:00:00,2000-01-01T08:00:00,2000-01-01T08:00:00,0,ADMIN,ADMIN,ADMIN
-1,,Poisson,32,9a8a52c3fe61427a963d45e917a33b22,,1990-01-01T06:00:00,2000-01-01T08:00:00,2000-01-01T08:00:00,0,ADMIN,ADMIN,ADMIN
-1,,Normal,32,eb021001d6e5482f804b2ef99fa8fcfb,,1990-01-01T06:00:00,2000-01-01T08:00:00,2000-01-01T08:00:00,0,ADMIN,ADMIN,ADMIN
