@FILLSTYLE,@FILLCOLOUR,@NAMEFILLCOLOUR,@TEXTCOLOUR,@SHADOWSIZE,@VALIDATED,@SHADOWCOLOUR,@NAMEFILLPATTERN,@ELEMENTSUSED,@SPECIALEFFECTS,@EXPORTFLAG,@WHENCREATED,@WHENUPDATED,@TEMPLATE,@OTHERFLAGS,@DATEVALIDATED,@LINECOLOUR,@LINEWIDTH,@NAME,@LINESTYLE,@TEXTMODE,@SHADOWDIRECTION,@NAMELINESTYLE,@NAMESHADOWDIRECTION,@NAMESHADOWCOLOUR,@NAMESHADOWSIZE,@UNIQUEIDENTIFIER,@VERTICALJUSTIFICATION,@HORIZONTALJUSTIFICATION,RCSTYLETOFONT@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@WHOOWNS,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOUPDATEDTOUSER@WHOUPDATED,RCSTYLETOFONT@FONTNR
0,33488896,0,16777216,10,0,9,0,327999,4,0,2006-12-01T13:08:56,2006-12-01T13:08:56,0,0,1899-12-30T00:00:00,16777216,0,Process - Reource Management,0,0,1,0,0,9,0,02189dcf816711db9401000e3573f0d3,,,Arial_20_0_0_32,ADMIN,ADMIN,ADMIN,,,,
0,31522815,16777216,16777216,10,0,9,16777216,327999,0,0,2015-11-15T12:45:16,2015-11-15T12:45:16,0,0,1899-12-30T00:00:00,16777216,0,,0,0,0,0,0,250,0,023ef2498bc911e5bf18002590713bc0,,,Microsoft Sans Serif_18_0_0_32,,,,32,32,32,
0,25231359,0,1,10,0,9,0,263167,0,0,2020-04-08T15:02:49,2020-04-08T15:02:49,0,0,1899-12-30T00:00:00,1,0,,0,1,1,0,0,9,10,0249c4bb79aa11ea80ee000d3a02ed0d,,,Arial_10_0_0_32,DFREED,DFREED,DFREED,,,,
0,33554431,0,1,10,0,4,0,65800,0,0,2020-04-08T15:02:50,2020-04-08T15:02:50,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,250,3,0249c4bc79aa11ea80ee000d3a02ed0d,,,,DFREED,DFREED,DFREED,,,,0
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:00,2018-05-22T15:23:00,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4d45dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:00,2018-05-22T15:23:00,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4d55dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:01,2018-05-22T15:23:01,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4d75dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:02,2018-05-22T15:23:02,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4d85dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:02,2018-05-22T15:23:02,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4da5dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:02,2018-05-22T15:23:02,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4db5dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:03,2018-05-22T15:23:03,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4dd5dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:03,2018-05-22T15:23:03,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4de5dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:04,2018-05-22T15:23:04,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4e05dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:04,2018-05-22T15:23:04,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4e15dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:04,2018-05-22T15:23:04,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4e35dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:04,2018-05-22T15:23:04,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4e45dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:05,2018-05-22T15:23:05,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4e65dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:05,2018-05-22T15:23:05,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4e75dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:06,2018-05-22T15:23:06,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4e95dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:06,2018-05-22T15:23:06,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4ea5dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:06,2018-05-22T15:23:06,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4ec5dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:06,2018-05-22T15:23:06,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4ed5dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:07,2018-05-22T15:23:07,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4ef5dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:07,2018-05-22T15:23:07,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4f05dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:07,2018-05-22T15:23:07,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4f25dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:07,2018-05-22T15:23:07,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4f35dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:08,2018-05-22T15:23:08,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4f55dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:08,2018-05-22T15:23:08,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4f65dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:09,2018-05-22T15:23:09,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4f85dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:09,2018-05-22T15:23:09,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4f95dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,9,0,263167,0,0,2018-05-22T15:23:10,2018-05-22T15:23:10,0,0,1899-12-30T00:00:00,1,0,,0,0,0,0,0,9,0,028cc4fb5dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,0,4,0,8,0,0,2018-05-22T15:23:10,2018-05-22T15:23:10,0,0,1899-12-30T00:00:00,4,0,,0,1,1,0,0,4,10,028cc4fc5dd411e880d6000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,4,0,263167,0,0,2016-06-01T21:49:31,2016-06-01T21:49:31,0,0,1899-12-30T00:00:00,1,0,zRecovered Style 5952,0,1,0,0,0,4,10,02a7a5f1287511e6bf18002590713bc0,,,Arial_10_0_0_32,,,,8,8,8,
0,0,0,1,10,-1,4,0,8,0,0,2016-06-01T21:49:31,2016-06-01T21:49:31,0,0,2016-06-01T21:49:31,4,0,,0,1,1,0,0,4,10,02a7a5f2287511e6bf18002590713bc0,,,Times New Roman_18_0_5_32,,,,0,8,8,
0,25231359,0,1,10,0,4,0,263167,0,0,2016-06-01T21:49:32,2016-06-01T21:49:32,0,0,1899-12-30T00:00:00,1,0,zRecovered Style 5954,0,1,0,0,0,4,10,02a7a5f4287511e6bf18002590713bc0,,,Arial_10_0_0_32,,,,8,8,8,
0,0,0,1,10,-1,4,0,8,0,0,2016-06-01T21:49:32,2016-06-01T21:49:32,0,0,2016-06-01T21:49:32,4,0,,0,1,1,0,0,4,10,02a7a5f5287511e6bf18002590713bc0,,,Times New Roman_18_0_5_32,,,,0,8,8,
0,25231359,0,1,10,0,4,0,263167,0,0,2016-06-01T21:49:33,2016-06-01T21:49:33,0,0,1899-12-30T00:00:00,1,0,zRecovered Style 5956,0,1,0,0,0,4,10,02a7a5f7287511e6bf18002590713bc0,,,Arial_10_0_0_32,,,,8,8,8,
0,0,0,1,10,-1,4,0,8,0,0,2016-06-01T21:49:33,2016-06-01T21:49:33,0,0,2016-06-01T21:49:33,4,0,,0,1,1,0,0,4,10,02a7a5f8287511e6bf18002590713bc0,,,Times New Roman_18_0_5_32,,,,0,8,8,
0,25231359,0,1,10,0,4,0,263167,0,0,2021-12-08T03:22:03,2021-12-08T03:22:04,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,02b8107857d611ec8107000d3a02ed0d,,,Arial_10_0_0_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,-1,4,0,8,0,0,2021-12-08T03:22:03,2021-12-08T03:22:04,0,0,2021-12-08T03:22:03,4,0,,0,1,1,0,0,4,10,02b8107957d611ec8107000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,25231359,0,1,10,0,4,0,263167,0,0,2021-12-08T03:22:04,2021-12-08T03:22:04,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,02b8107b57d611ec8107000d3a02ed0d,,,Arial_10_0_0_32,DFREED,DFREED,DFREED,,,,
0,0,0,1,10,-1,4,0,8,0,0,2021-12-08T03:22:04,2021-12-08T03:22:04,0,0,2021-12-08T03:22:04,4,0,,0,1,1,0,0,4,10,02b8107c57d611ec8107000d3a02ed0d,,,Times New Roman_18_0_5_32,DFREED,DFREED,DFREED,,,,
0,32435887,16777216,16777216,10,0,9,16777216,327999,0,0,2022-01-06T18:32:33,2022-01-06T18:32:33,0,0,1899-12-30T00:00:00,16777216,0,Sub-Domain L3,0,0,0,0,0,250,0,02bc5a1c6f1f11ec8109000d3a02ed0d,,,Microsoft Sans Serif_10_0_0_32,DFREED,DFREED,DFREED,,,,
0,25231359,23125983,16777216,10,0,9,27328511,327999,0,0,2022-05-23T12:15:24,2022-05-23T12:15:24,0,0,1899-12-30T00:00:00,16777216,0,,0,0,0,50,0,250,2,034379b5da9211ec94f8000d3a0ebc70,,,Microsoft Sans Serif_22_0_1_32,ADMIN,ADMIN,ADMIN,,,,
0,25198720,16777216,16777216,10,0,9,16777216,327999,0,0,2020-06-26T13:57:48,2020-08-07T14:44:30,0,0,1899-12-30T00:00:00,25198720,0,Business Capability - L1 Supporting (grey),0,0,0,0,0,250,0,039854c0b7b511ea80f1000d3a02ed0d,,,Microsoft Sans Serif_11_0_0_32,DFREED,DFREED,ADMIN,,,,
0,25231359,0,1,10,0,4,0,263167,0,0,2015-11-13T15:53:48,2015-11-13T15:53:48,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,03f596e88a5111e5bf18002590713bc0,,,Arial_10_0_0_32,,,,8,8,8,
0,0,0,1,10,-1,4,0,8,0,0,2015-11-13T15:53:48,2015-11-13T15:53:48,0,0,2015-11-13T15:53:48,4,0,,0,1,1,0,0,4,10,03f596e98a5111e5bf18002590713bc0,,,Times New Roman_18_0_5_32,,,,8,8,8,
