@TYPE,@UNIQUEIDENTIFIER,@ALLOWAUTOMATICDELETION,@WHENUPDATED,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@DESCRIPTION,@WHENCREATED,@NAME,@VALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
,d01844d8f4dd11e4aa85002590713bc0,0,2015-05-07T11:23:55,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:55,,0,a3048cc95e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,691aec415e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121c7f4dd11e4aa85002590713bc0,0,2015-05-07T11:23:56,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:56,,0,a9b2da545e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,5ee400905e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121caf4dd11e4aa85002590713bc0,0,2015-05-07T11:23:57,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:57,,0,b1788f6a5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,7eccfb655e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121cbf4dd11e4aa85002590713bc0,0,2015-05-07T11:23:57,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:57,,0,b1788f6a5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,677b12735e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121cdf4dd11e4aa85002590713bc0,0,2015-05-07T11:23:57,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:57,,0,bf8a9a755e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,f159a6dd5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121cff4dd11e4aa85002590713bc0,0,2015-05-07T11:23:58,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:58,,0,c6f954a25e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121d1f4dd11e4aa85002590713bc0,0,2015-05-07T11:23:58,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:58,,0,ce3a47625e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,37df0d755e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121d3f4dd11e4aa85002590713bc0,0,2015-05-07T11:23:59,0,1899-12-30T00:00:00,0,,2015-05-07T11:23:59,,0,d58992395e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,53ca5f7a5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121d5f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:00,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:00,,0,dccc59c05e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,691aec405e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121d7f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:00,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:00,,0,e3bfa08e5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,8aeb6c815e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121d9f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:01,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:01,,0,ea8cc12c5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,9111753c5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121dbf4dd11e4aa85002590713bc0,0,2015-05-07T11:24:01,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:01,,0,f138287c5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,7eccfb655e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121def4dd11e4aa85002590713bc0,0,2015-05-07T11:24:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:02,,0,d62121e1f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d62121ddf4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121e3f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:02,,0,d62121e8f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d62121e2f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121eaf4dd11e4aa85002590713bc0,0,2015-05-07T11:24:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:02,,0,d62121eef4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d62121e9f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121f0f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:02,,0,d62121f3f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d62121eff4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121f5f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:02,,0,d62121f8f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d62121f4f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121faf4dd11e4aa85002590713bc0,0,2015-05-07T11:24:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:02,,0,d62121fdf4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d62121f9f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62121fff4dd11e4aa85002590713bc0,0,2015-05-07T11:24:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:02,,0,d6212202f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d62121fef4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212204f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:02,,0,d6212207f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212203f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212209f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:02,,0,d621220cf4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212208f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621220ef4dd11e4aa85002590713bc0,0,2015-05-07T11:24:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:02,,0,d6212211f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621220df4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212213f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:02,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:02,,0,d6212217f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212212f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212219f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d621221cf4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212218f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621221ef4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d6212221f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621221df4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212222f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d6212225f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621221df4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212227f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d621222bf4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212226f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621222df4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d6212230f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621222cf4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
