@QUEUEPRIORITY,@GROWTHTYPE,@TYPE,@INTERNALEXTERNAL,@DESCRIPTION,@NAME,@EXPORTFLAG,@TEMPLATE,@WHENCREATED,@WHENUPDATED,@VALIDATED,@UNIQUEIDENTIFIER,@DATEVALIDATED,@TRIGGER,@CWAVERAGERATING,@CWTOTALCOMMENT,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Close Resource Trouble Report,0,0,2012-02-01T15:34:31,2012-02-01T15:34:35,0,24620b084d1411e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Resource Allocated,0,0,2004-03-17T10:57:46,2004-03-17T10:57:56,0,2884bdd677f111d8bc1d0003476dfa9b,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Track & Manage Service Problem,0,0,2012-02-03T09:27:12,2012-02-03T09:27:12,0,2905eece4e7311e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Start Survey & Analyze Resource Trouble,0,0,2012-02-01T16:24:48,2012-02-01T16:24:48,0,2a8c53da4d1b11e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Request to create a new product,0,0,2005-05-13T13:18:57,2005-05-13T13:19:07,0,2d4d1c76c3a911d981b70010c6589928,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Test event hugo,0,0,2013-07-19T08:55:01,2013-07-19T08:55:01,0,2e2e5966f08311e2a792002590713bc0,1899-12-30T00:00:00,,0.0,0.0,,,,6,6,6
0,0,,eab48b00e15b4d66883fbfc50e5d3422,,External Order Status Received,0,0,2003-05-01T03:31:00,2004-04-04T16:05:52,0,2f6b09824b634c6abaa076dcdcd10d1f,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,eab48b00e15b4d66883fbfc50e5d3422,,Customer contacts retailer,0,0,2005-03-29T22:00:25,2005-03-29T22:00:44,0,301d55dca08d11d981a80010c6589928,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,result 13 WM 1313,0,0,2013-07-24T02:58:25,2013-07-24T02:58:25,0,30f6d096f43f11e2a792002590713bc0,1899-12-30T00:00:00,,0.0,0.0,,,,6,6,6
0,0,,0b248d2767a3438ba9dc1188028d64e5,,event 8 WM 1313,0,0,2013-07-24T02:58:25,2013-07-24T02:58:25,0,30f6d09bf43f11e2a792002590713bc0,1899-12-30T00:00:00,,0.0,0.0,,,,6,6,6
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Start Correct & Resolve Resource Trouble,0,0,2012-02-01T15:42:03,2012-02-01T15:42:06,0,315afa724d1511e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,eab48b00e15b4d66883fbfc50e5d3422,,Request for  prepaid call authorization/balance reservation,0,0,2001-04-05T13:59:57,2004-08-05T19:49:20,-1,337fdf307c274ef8ae5576017632e8ab,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
