@TEMPLATE,@TYPE,@ALLOWAUTOMATICDELETION,@NAME,@DESCRIPTION,@VALIDATED,@EXPORTFLAG,@UNIQUEIDENTIFIER,@DATEVALIDATED,@WHENCREATED,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,0,,,0,0,20ff98f15dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:47:55,2021-12-15T17:47:55,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,20ff98f25dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,20ff98f45dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:47:55,2021-12-15T17:47:55,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,20ff98f55dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,20ff98f75dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:47:55,2021-12-15T17:47:55,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,20ff98f85dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,20ff98fa5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:47:55,2021-12-15T17:47:55,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,20ff98fb5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,20ff98fd5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:47:55,2021-12-15T17:47:55,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,20ff98fe5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,20ff99005dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:47:55,2021-12-15T17:47:55,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,20ff99015dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,20ff99035dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:47:55,2021-12-15T17:47:55,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,20ff99045dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,20ff99065dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:47:55,2021-12-15T17:47:55,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,20ff99075dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,20ff99095dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:47:55,2021-12-15T17:47:55,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,20ff990a5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,20ff990c5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:47:55,2021-12-15T17:47:55,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,20ff990d5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
