@TEMPLATE,@WHENUPDATED,@ALLOWAUTOMATICDELETION,@VALIDATED,@UNIQUEIDENTIFIER,@DATEVALIDATED,@DESCRIPTION,@TYPE,@WHENCREATED,@NAME,@EXPORTFLAG,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,2020-08-05T17:32:33,0,0,a435ecbcd74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:33,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407c1b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:33,0,0,a435ecbdd74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:33,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407c2b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:33,0,0,a435ecbed74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:33,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407c3b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:33,0,0,a435ecbfd74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:33,,0,681ccd3bd73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1118575cb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:33,0,0,a435ecc0d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:33,,0,681ccd3bd73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1118575db7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:33,0,0,a435ecc1d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:33,,0,681ccd3bd73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1118575eb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:33,0,0,a435ecc2d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:33,,0,681ccd3bd73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1118575bb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:33,0,0,a435ecc3d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:33,,0,681ccd3bd73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,11185751b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:33,0,0,a435ecc4d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:33,,0,681ccd3bd73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,11185778b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:33,0,0,a435ecc5d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:33,,0,681ccd3bd73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,11185754b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
