@EXPORTFLAG,@ALLOWAUTOMATICDELETION,@VALIDATED,@WHENCREATED,@NAME,@TEMPLATE,@DESCRIPTION,@DATEVALIDATED,@WHENUPDATED,@UNIQUEIDENTIFIER,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,0,0,2018-05-01T03:09:12,,0,,1899-12-30T00:00:00,2018-05-01T03:09:12,0253afdb4ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:13,,0,,1899-12-30T00:00:00,2018-05-01T03:09:13,0253afde4ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:14,,0,,1899-12-30T00:00:00,2018-05-01T03:09:14,0253afe14ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:16,,0,,1899-12-30T00:00:00,2018-05-01T03:09:16,0253afe44ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:17,,0,,1899-12-30T00:00:00,2018-05-01T03:09:17,0253afe74ced11e880d5000d3a02ed0d,,f65a6cf041a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d2041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:27,,0,,1899-12-30T00:00:00,2018-05-01T03:16:27,081885754cee11e880d5000d3a02ed0d,,1a30a13841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d8941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:28,,0,,1899-12-30T00:00:00,2018-05-01T03:16:28,081885774cee11e880d5000d3a02ed0d,,1a30a14341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d8d41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:29,,0,,1899-12-30T00:00:00,2018-05-01T03:16:29,081885794cee11e880d5000d3a02ed0d,,1a30a12541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d9141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:29,,0,,1899-12-30T00:00:00,2018-05-01T03:16:29,0818857b4cee11e880d5000d3a02ed0d,,202b9d9441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d9641a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:30,,0,,1899-12-30T00:00:00,2018-05-01T03:16:30,0818857d4cee11e880d5000d3a02ed0d,,202b9d9441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d9a41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:31,,0,,1899-12-30T00:00:00,2018-05-01T03:16:31,0818857f4cee11e880d5000d3a02ed0d,,202b9d9d41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d9f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:32,,0,,1899-12-30T00:00:00,2018-05-01T03:16:32,081885814cee11e880d5000d3a02ed0d,,202b9da241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9da441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:33,,0,,1899-12-30T00:00:00,2018-05-01T03:16:33,081885834cee11e880d5000d3a02ed0d,,202b9da741a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9da941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:34,,0,,1899-12-30T00:00:00,2018-05-01T03:16:34,081885854cee11e880d5000d3a02ed0d,,1a30a13e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9dad41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:35,,0,,1899-12-30T00:00:00,2018-05-01T03:16:35,081885874cee11e880d5000d3a02ed0d,,1a30a14341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9db141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:36,,0,,1899-12-30T00:00:00,2018-05-01T03:16:36,081885894cee11e880d5000d3a02ed0d,,1a30a14341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9db541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:19,,0,,1899-12-30T00:00:00,2018-05-01T03:09:19,08f9fed04ced11e880d5000d3a02ed0d,,f65a6cf041a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d2441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:20,,0,,1899-12-30T00:00:00,2018-05-01T03:09:20,08f9fed34ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c6441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:21,,0,,1899-12-30T00:00:00,2018-05-01T03:09:21,08f9fed64ced11e880d5000d3a02ed0d,,fc53512d41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,fc53513041a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:23,,0,,1899-12-30T00:00:00,2018-05-01T03:09:23,08f9fed94ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c6941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:24,,0,,1899-12-30T00:00:00,2018-05-01T03:09:24,08f9fedc4ced11e880d5000d3a02ed0d,,024c5c6c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c6f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:26,,0,,1899-12-30T00:00:00,2018-05-01T03:09:26,08f9fedf4ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c7441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:27,,0,,1899-12-30T00:00:00,2018-05-01T03:09:27,08f9fee24ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c7941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:29,,0,,1899-12-30T00:00:00,2018-05-01T03:09:29,08f9fee54ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c7e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:37,,0,,1899-12-30T00:00:00,2018-05-01T03:16:37,0e4c79804cee11e880d5000d3a02ed0d,,202b9db841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9dba41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:38,,0,,1899-12-30T00:00:00,2018-05-01T03:16:38,0e4c79824cee11e880d5000d3a02ed0d,,202b9dbd41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9dbf41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:39,,0,,1899-12-30T00:00:00,2018-05-01T03:16:39,0e4c79844cee11e880d5000d3a02ed0d,,202b9dc241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9dc441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:40,,0,,1899-12-30T00:00:00,2018-05-01T03:16:40,0e4c79864cee11e880d5000d3a02ed0d,,1a30a12541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9dc841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:41,,0,,1899-12-30T00:00:00,2018-05-01T03:16:41,0e4c79884cee11e880d5000d3a02ed0d,,202b9dcb41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9dcd41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:42,,0,,1899-12-30T00:00:00,2018-05-01T03:16:42,0e4c798a4cee11e880d5000d3a02ed0d,,202b9dd041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9dd241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:43,,0,,1899-12-30T00:00:00,2018-05-01T03:16:43,0e4c798c4cee11e880d5000d3a02ed0d,,1a30a12541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9dd641a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:44,,0,,1899-12-30T00:00:00,2018-05-01T03:16:44,0e4c798e4cee11e880d5000d3a02ed0d,,202b9dd941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9ddb41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:44,,0,,1899-12-30T00:00:00,2018-05-01T03:16:44,0e4c79904cee11e880d5000d3a02ed0d,,202b9dd941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9ddf41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
