@ALLOWAUTOMATICDELETION,@DESCRIPTION,@UNIQUEIDENTIFIER,@EXPORTFLAG,@WHENCREATED,@WHENUPDATED,@NAME,@DATEVALIDATED,@TEMPLATE,@VALIDATED,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,04af63f76f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:52,2022-01-06T17:13:52,,1899-12-30T00:00:00,0,0,,658c7583f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2cf062365dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,04af63f86f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:52,2022-01-06T17:13:52,,1899-12-30T00:00:00,0,0,,658c7586f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2cf0623c5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,04af63f96f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:52,2022-01-06T17:13:52,,1899-12-30T00:00:00,0,0,,5862dc634f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062335dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,04af63fa6f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:52,2022-01-06T17:13:52,,1899-12-30T00:00:00,0,0,,5862dc664f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062335dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,04af63fb6f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:52,2022-01-06T17:13:52,,1899-12-30T00:00:00,0,0,,5862dc694f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062335dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,04af63fc6f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:52,2022-01-06T17:13:52,,1899-12-30T00:00:00,0,0,,5862dc6e4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062335dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,04af63fd6f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:52,2022-01-06T17:13:52,,1899-12-30T00:00:00,0,0,,5862dc714f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062335dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,04af63fe6f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:52,2022-01-06T17:13:52,,1899-12-30T00:00:00,0,0,,5862dc744f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062335dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,04af63ff6f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:52,2022-01-06T17:13:52,,1899-12-30T00:00:00,0,0,,5862dc774f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062335dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,04af64006f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:53,2022-01-06T17:13:53,,1899-12-30T00:00:00,0,0,,5862dc7a4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062335dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,04af64016f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:53,2022-01-06T17:13:53,,1899-12-30T00:00:00,0,0,,5862dcad4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062335dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,04af64026f1411ec8109000d3a02ed0d,0,2022-01-06T17:13:53,2022-01-06T17:13:53,,1899-12-30T00:00:00,0,0,,5f91e0e2f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,20ff9a375dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
