@TEMPLATE,@UNIQUEIDENTIFIER,@WHENUPDATED,@TYPE,@WHENCREATED,@VALIDATED,@ALLOWAUTOMATICDELETION,@DATEVALIDATED,@EXPORTFLAG,@NAME,@DESCRIPTION,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,da50be8fb09d11e2a792002590713bc0,2013-04-29T01:24:41,,2013-04-29T01:24:41,0,0,1899-12-30T00:00:00,0,,,44cf8fd1166e11ddad71001e378839ac,TAMAPPLICATION,44cf8fd0166e11ddad71001e378839ac,TAMAPPLICATION,6,6,6,,,
0,da50be91b09d11e2a792002590713bc0,2013-04-29T01:24:41,,2013-04-29T01:24:41,0,0,1899-12-30T00:00:00,0,,,687dd08a0eeb11dc87b800059a3c7800,TAMAPPLICATION,44cf8fd0166e11ddad71001e378839ac,TAMAPPLICATION,6,6,6,,,
0,db03b57b2db711e6bf18002590713bc0,2016-06-08T14:30:37,,2016-06-08T14:30:37,0,0,1899-12-30T00:00:00,0,,,cb0875bd275011e6bf18002590713bc0,TAMAPPLICATION,324578e10edf11dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
0,db03b57e2db711e6bf18002590713bc0,2016-06-08T14:30:37,,2016-06-08T14:30:37,0,0,1899-12-30T00:00:00,0,,,cb0875bf275011e6bf18002590713bc0,TAMAPPLICATION,324578e10edf11dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
0,db03b5812db711e6bf18002590713bc0,2016-06-08T14:30:38,,2016-06-08T14:30:38,0,0,1899-12-30T00:00:00,0,,,cb0875c1275011e6bf18002590713bc0,TAMAPPLICATION,324578e10edf11dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
0,db03b5842db711e6bf18002590713bc0,2016-06-08T14:30:38,,2016-06-08T14:30:38,0,0,1899-12-30T00:00:00,0,,,cb0875c3275011e6bf18002590713bc0,TAMAPPLICATION,324578e10edf11dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
0,db03b58a2db711e6bf18002590713bc0,2016-06-08T14:30:39,,2016-06-08T14:30:39,0,0,1899-12-30T00:00:00,0,,,cb0875c5275011e6bf18002590713bc0,TAMAPPLICATION,cb0875c3275011e6bf18002590713bc0,TAMAPPLICATION,32,32,32,,,
0,db03b58d2db711e6bf18002590713bc0,2016-06-08T14:30:39,,2016-06-08T14:30:39,0,0,1899-12-30T00:00:00,0,,,cb0875c7275011e6bf18002590713bc0,TAMAPPLICATION,cb0875c3275011e6bf18002590713bc0,TAMAPPLICATION,32,32,32,,,
0,db03b5902db711e6bf18002590713bc0,2016-06-08T14:30:40,,2016-06-08T14:30:40,0,0,1899-12-30T00:00:00,0,,,cb0875c9275011e6bf18002590713bc0,TAMAPPLICATION,cb0875c3275011e6bf18002590713bc0,TAMAPPLICATION,32,32,32,,,
0,df29df91afb211e2a7350026b9bf6441,2013-04-27T21:22:25,,2013-04-27T21:22:25,0,0,1899-12-30T00:00:00,0,,,3f7edd9e699311e1a5f7002564cb911c,TAMAPPLICATION,62547c07699211e1a5f7002564cb911c,TAMAPPLICATION,8,8,8,,,
