@EXPORTFLAG,@VALIDATED,@WHENCREATED,@WHENUPDATED,@TEMPLATE,@UNIQUEIDENTIFIER,@DATEVALIDATED,@ALLOWAUTOMATICDELETION,RCISSUELINKTOANYOBJECT@UNIQUEIDENTIFIER,RCISSUELINKTOANYOBJECT@ANYOBJECTDESTINATION,RCISSUELINKTOISSUE@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686ee076c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686ee176c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686ee376c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686ee476c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686ee676c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686ee776c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686ee976c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686eea76c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686eec76c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686eed76c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686eef76c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686ef076c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686ef276c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686ef376c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686ef576c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686ef676c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686ef876c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686ef976c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686efb76c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686efc76c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686efe76c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686eff76c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686f0176c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686f0276c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:12,2012-03-25T17:25:12,0,00686f0476c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686f0576c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:13,2012-03-25T17:25:13,0,00686f0776c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686f0876c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:13,2012-03-25T17:25:13,0,00686f0a76c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686f0b76c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:13,2012-03-25T17:25:13,0,00686f0d76c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686f0e76c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:13,2012-03-25T17:25:13,0,00686f1076c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686f1176c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
0,0,2012-03-25T17:25:13,2012-03-25T17:25:13,0,00686f1376c111e1a8e8002564cb911c,1899-12-30T00:00:00,0,00686f1476c111e1a8e8002564cb911c,ETOMPROCESS,dc88e54c6c7c11e1a5f7002564cb911c,ADMIN,ADMIN,ADMIN,,,
