@TYPE,@DESCRIPTION,@TEMPLATE,@DATEVALIDATED,@EXPORTFLAG,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,@NAME,@ALLOWAUTOMATICDELETION,@VALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,1899-12-30T00:00:00,0,2021-12-08T22:58:29,2021-12-08T22:58:29,56da4376587a11ec8107000d3a02ed0d,,0,0,e0d9a8a1587811ec8107000d3a02ed0d,ETOMPROCESS,a734def352dc11ec8107000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:58:30,2021-12-08T22:58:30,56da4378587a11ec8107000d3a02ed0d,,0,0,e0d9a8a1587811ec8107000d3a02ed0d,ETOMPROCESS,ad43c32552dc11ec8107000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:58:30,2021-12-08T22:58:30,56da437a587a11ec8107000d3a02ed0d,,0,0,e0d9a8a1587811ec8107000d3a02ed0d,ETOMPROCESS,ad43c32652dc11ec8107000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:58:31,2021-12-08T22:58:31,56da437c587a11ec8107000d3a02ed0d,,0,0,e0d9a8a1587811ec8107000d3a02ed0d,ETOMPROCESS,ad43c32752dc11ec8107000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:58:31,2021-12-08T22:58:31,56da437e587a11ec8107000d3a02ed0d,,0,0,e0d9a8a1587811ec8107000d3a02ed0d,ETOMPROCESS,ad43c32852dc11ec8107000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:58:32,2021-12-08T22:58:32,56da4380587a11ec8107000d3a02ed0d,,0,0,e0d9a8a1587811ec8107000d3a02ed0d,ETOMPROCESS,ad43c32952dc11ec8107000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:51:13,2021-12-08T22:51:13,5759d388587911ec8107000d3a02ed0d,,0,0,0958e710c6ee11eb8100000d3a02ed0d,ETOMPROCESS,d68f5d8d87ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:51:14,2021-12-08T22:51:14,5759d38a587911ec8107000d3a02ed0d,,0,0,0958e710c6ee11eb8100000d3a02ed0d,ETOMPROCESS,e8cda97f87ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:51:15,2021-12-08T22:51:15,5759d38c587911ec8107000d3a02ed0d,,0,0,0958e710c6ee11eb8100000d3a02ed0d,ETOMPROCESS,e8cda98087ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:51:16,2021-12-08T22:51:16,5759d38e587911ec8107000d3a02ed0d,,0,0,0958e710c6ee11eb8100000d3a02ed0d,ETOMPROCESS,e8cda98187ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:51:17,2021-12-08T22:51:17,5759d390587911ec8107000d3a02ed0d,,0,0,0958e710c6ee11eb8100000d3a02ed0d,ETOMPROCESS,d68f5d8e87ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:51:18,2021-12-08T22:51:18,5759d392587911ec8107000d3a02ed0d,,0,0,0958e710c6ee11eb8100000d3a02ed0d,ETOMPROCESS,e8cda98d87ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
