@TEMPLATE,@NAME,@TYPE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@WHENUPDATED,@WHENCREATED,@VALIDATED,@DATEVALIDATED,@UNIQUEIDENTIFIER,@EXPORTFLAG,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,,0,,2018-05-01T03:15:50,2018-05-01T03:15:50,0,1899-12-30T00:00:00,edf182114ced11e880d5000d3a02ed0d,0,1a30a05441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a05841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:15:51,2018-05-01T03:15:51,0,1899-12-30T00:00:00,edf182134ced11e880d5000d3a02ed0d,0,1a30a02f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a05b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:15:52,2018-05-01T03:15:52,0,1899-12-30T00:00:00,edf182154ced11e880d5000d3a02ed0d,0,1a30a02e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a05e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:15:52,2018-05-01T03:15:52,0,1899-12-30T00:00:00,edf182174ced11e880d5000d3a02ed0d,0,1a30a02c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a06141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:22:55,2018-05-01T03:22:55,0,1899-12-30T00:00:00,ef977bc54cee11e880d5000d3a02ed0d,0,561e1a7b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,561e1a7e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:22:56,2018-05-01T03:22:56,0,1899-12-30T00:00:00,ef977bc74cee11e880d5000d3a02ed0d,0,561e1a7f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,561e1a8341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:15:53,2018-05-01T03:15:53,0,1899-12-30T00:00:00,f4542fb64ced11e880d5000d3a02ed0d,0,1a30a03a41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a06541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:15:54,2018-05-01T03:15:54,0,1899-12-30T00:00:00,f4542fb84ced11e880d5000d3a02ed0d,0,1a30a03441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a06841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:15:55,2018-05-01T03:15:55,0,1899-12-30T00:00:00,f4542fba4ced11e880d5000d3a02ed0d,0,1a30a03841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a06b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:06,2018-05-01T03:16:06,0,1899-12-30T00:00:00,fb8645484ced11e880d5000d3a02ed0d,0,1a30a12341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a12741a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:07,2018-05-01T03:16:07,0,1899-12-30T00:00:00,fb86454a4ced11e880d5000d3a02ed0d,0,1a30a12941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a12d41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:08,2018-05-01T03:16:08,0,1899-12-30T00:00:00,fb86454c4ced11e880d5000d3a02ed0d,0,1a30a12e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a13241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:09,2018-05-01T03:16:09,0,1899-12-30T00:00:00,fb86454e4ced11e880d5000d3a02ed0d,0,1a30a13341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a13641a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:09,2018-05-01T03:16:09,0,1899-12-30T00:00:00,fb8645504ced11e880d5000d3a02ed0d,0,1a30a13241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a13a41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:11,2018-05-01T03:16:11,0,1899-12-30T00:00:00,fb8645524ced11e880d5000d3a02ed0d,0,1a30a13c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a14041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:11,2018-05-01T03:16:11,0,1899-12-30T00:00:00,fb8645544ced11e880d5000d3a02ed0d,0,1a30a14141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a14541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:12,2018-05-01T03:16:12,0,1899-12-30T00:00:00,fb8645564ced11e880d5000d3a02ed0d,0,1a30a14641a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1a30a14a41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:13,2018-05-01T03:16:13,0,1899-12-30T00:00:00,fb8645584ced11e880d5000d3a02ed0d,0,202b9d4b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d4f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:14,2018-05-01T03:16:14,0,1899-12-30T00:00:00,fb86455a4ced11e880d5000d3a02ed0d,0,202b9d5041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d5341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:15,2018-05-01T03:16:15,0,1899-12-30T00:00:00,fb86455c4ced11e880d5000d3a02ed0d,0,202b9d5441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d5741a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
