@NAME,@TYPE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@TEMPLATE,@DATEVALIDATED,@EXPORTFLAG,@VALIDATED,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:12:55,2016-06-01T15:12:55,9a1d737a283d11e6bf18002590713bc0,59974c39f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,e3563f61139811ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:12:56,2016-06-01T15:12:56,9a1d737c283d11e6bf18002590713bc0,59974c3cf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,e3563f61139811ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:12:56,2016-06-01T15:12:56,9a1d737e283d11e6bf18002590713bc0,59974c3ff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,e3563f61139811ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:12:58,2016-06-01T15:12:58,9a1d7386283d11e6bf18002590713bc0,59974c4bf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,687dd08a0eeb11dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:12:59,2016-06-01T15:12:59,9a1d7388283d11e6bf18002590713bc0,59974c4ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,687dd08a0eeb11dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:00,2016-06-01T15:13:00,9a1d738a283d11e6bf18002590713bc0,59974c51f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,0ee3797e049611dc878f00059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:00,2016-06-01T15:13:00,9a1d738c283d11e6bf18002590713bc0,59974c54f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,0ee3797e049611dc878f00059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:01,2016-06-01T15:13:01,9a1d7390283d11e6bf18002590713bc0,59974c5af4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,0ee3797e049611dc878f00059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:02,2016-06-01T15:13:02,9a1d7392283d11e6bf18002590713bc0,59974c5df4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,08062ee3146411e28835f04da23a38c8,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:02,2016-06-01T15:13:02,9a1d7394283d11e6bf18002590713bc0,59974c60f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,08062ee3146411e28835f04da23a38c8,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:03,2016-06-01T15:13:03,9a1d7396283d11e6bf18002590713bc0,59974c63f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,b8dff94ca7a811e2a0d5f04da23a38c8,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:03,2016-06-01T15:13:03,9a1d7398283d11e6bf18002590713bc0,59974c66f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,b8dff94ca7a811e2a0d5f04da23a38c8,TAMAPPLICATION,32,32,32,,,
