@DESCRIPTION,@CW_RATING,@NAME,@CW_FAVOURITE,@TYPE,@CWFOLLOWING,@CWVIEWEDCOMMENTS,@VALIDATED,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@ALLOWAUTOMATICDELETION,@UNIQUEIDENTIFIER,@WHENCREATED,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
,0,,-1,,0,0,0,0,1899-12-30T00:00:00,0,0,1df58441996c11ec94f7000d3a0ebc70,2022-03-01T14:30:19,2022-03-01T14:30:19,a77e590e13cc11e78b8b002590713bc0,CW_USER,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN,,,
,0,,-1,,0,0,0,0,1899-12-30T00:00:00,0,0,a9870f6e18ac11e78b8b002590713bc0,2017-04-03T14:32:37,2017-04-03T15:18:59,34612c92ee9211e4aa85002590713bc0,CW_USER,212bd3bc1d9811db9063000802da1ce2,DIAGRAM,,,,64,64,64
,0,,-1,,0,0,0,0,1899-12-30T00:00:00,0,0,ba89608418ac11e78b8b002590713bc0,2017-04-03T14:33:01,2017-04-03T14:49:51,34612c92ee9211e4aa85002590713bc0,CW_USER,8f0b6de0e4d611de953f001de065480b,DIAGRAM,,,,64,64,64
,0,,-1,,0,0,0,0,1899-12-30T00:00:00,0,0,d06107f918ac11e78b8b002590713bc0,2017-04-03T14:33:45,2017-04-03T15:19:49,34612c92ee9211e4aa85002590713bc0,CW_USER,ac379ad6e0054204b29009c3d82ff997,DIAGRAM,,,,64,64,64
