@TYPE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@TEMPLATE,@NAME,@EXPORTFLAG,@WHENUPDATED,@WHENCREATED,@DATEVALIDATED,@VALIDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,,0,,0,2022-06-08T10:24:34,2022-06-08T10:24:34,1899-12-30T00:00:00,0,305fb6eee71511ec94fa000d3a0ebc70,4ac1a11fe71411ec94fa000d3a0ebc70,FRAMEWORXFUNCTION,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,ATALMOR,ATALMOR,ATALMOR
,0,,0,,0,2022-06-08T10:43:57,2022-06-08T10:43:57,1899-12-30T00:00:00,0,e52ce96de71711ec94fa000d3a0ebc70,be55d758e71511ec94fa000d3a0ebc70,FRAMEWORXFUNCTION,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,ATALMOR,ATALMOR,ATALMOR
