@NAME,@TEMPLATE,@TYPE,@CONFORMANCESCORE,@WHENCREATED,@CONFORMANCEVERSION,@VALIDATED,@DATEVALIDATED,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@DESCRIPTION,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,,5,2014-04-18T01:00:35,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:00:38,38bba410c6c711e3b45c6817294aebff,f5dce4f6c6c611e3b45c6817294aebff,ISSUE,7001e9dacb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,4.67,2014-01-14T00:29:25,f62191707eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-01-20T15:27:00,391bc0bb7ce511e3b8b46817294aebff,3c7a3e6651f211e38362f81a67018365,ISSUE,7001e8b6cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,4.7,2014-01-14T00:29:32,f62191707eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-01-20T15:27:23,391bc0bc7ce511e3b8b46817294aebff,3c7a3e6651f211e38362f81a67018365,ISSUE,7001e8becb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-03-17T09:44:53,f62191707eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-03-17T09:44:57,393aa1cfadeb11e3865d6817294aebff,c33ff241adea11e3865d6817294aebff,ISSUE,fad3173e0ba711dd870a001e378839ac,ETOMPROCESS,32,32,32,,,
,0,,5,2014-03-17T09:45:02,f62191707eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-03-17T09:45:04,393aa1d0adeb11e3865d6817294aebff,c33ff241adea11e3865d6817294aebff,ISSUE,fad3173f0ba711dd870a001e378839ac,ETOMPROCESS,32,32,32,,,
,0,,4,2014-04-18T01:14:56,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:14:59,3b3d698ac6c911e3b45c6817294aebff,3b3d6989c6c911e3b45c6817294aebff,ISSUE,d631ced0067d11dd9446001e378839ac,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T00:53:24,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T00:53:27,3b60bcafc6c611e3b45c6817294aebff,f16b28b3c6c511e3b45c6817294aebff,ISSUE,7001e9b3cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T00:53:30,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T00:53:33,3b60bcb0c6c611e3b45c6817294aebff,f16b28b3c6c511e3b45c6817294aebff,ISSUE,760019eccb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T01:07:47,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:07:50,3e0ee9ffc6c811e3b45c6817294aebff,d8780662c6c711e3b45c6817294aebff,ISSUE,760019f5cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T01:07:53,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:07:56,3e0eea00c6c811e3b45c6817294aebff,d8780662c6c711e3b45c6817294aebff,ISSUE,760019f7cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T01:00:41,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:00:44,401fd6c4c6c711e3b45c6817294aebff,f5dce4f6c6c611e3b45c6817294aebff,ISSUE,760019f7cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T01:00:47,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:00:50,401fd6c5c6c711e3b45c6817294aebff,f5dce4f6c6c611e3b45c6817294aebff,ISSUE,760019f1cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-05-01T02:33:10,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-05-01T02:33:14,4069c968d10b11e392766817294aebff,3b3d6989c6c911e3b45c6817294aebff,ISSUE,7600188acb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,4.7,2014-01-14T00:29:38,f62191707eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-01-20T15:28:07,41199da07ce511e3b8b46817294aebff,3c7a3e6651f211e38362f81a67018365,ISSUE,7001e8d6cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,4.71,2014-01-14T00:29:45,f62191707eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-01-20T15:28:26,41199da17ce511e3b8b46817294aebff,3c7a3e6651f211e38362f81a67018365,ISSUE,7001e8e0cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,,2019-07-16T16:39:19,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:19,41384e8ea7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,ab3b8d1e283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:20,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:20,41384e8fa7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,cf4aec0e283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
