@ALLOWAUTOMATICDELETION,@VALIDATED,@WHENUPDATED,@DATEVALIDATED,@EXPORTFLAG,@DESCRIPTION,@NAME,@WHENCREATED,@UNIQUEIDENTIFIER,@TEMPLATE,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0,0,2014-10-29T03:15:19,1899-12-30T00:00:00,0,,,2014-10-29T03:15:19,15e7a3f75f4c11e4925a6817294aebff,0,,617edfdd5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,15e7a3f05f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:08:44,1899-12-30T00:00:00,0,,,2014-10-29T03:08:44,2b40749b5f4b11e4925a6817294aebff,0,,3059bdb35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,2b40749a5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:59,1899-12-30T00:00:00,0,,,2014-10-29T03:15:59,2dcaf32c5f4c11e4925a6817294aebff,0,,33d313385f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,1ccd7d0c5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:59,1899-12-30T00:00:00,0,,,2014-10-29T03:15:59,2dcaf32d5f4c11e4925a6817294aebff,0,,33d313385f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,25f9cc3e5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:59,1899-12-30T00:00:00,0,,,2014-10-29T03:15:59,2dcaf32e5f4c11e4925a6817294aebff,0,,33d313385f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,25f9cc3f5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:59,1899-12-30T00:00:00,0,,,2014-10-29T03:15:59,2dcaf32f5f4c11e4925a6817294aebff,0,,33d313385f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,2dcaf32b5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:23:14,1899-12-30T00:00:00,0,,,2014-10-29T03:23:14,34dd2db75f4d11e4925a6817294aebff,0,,53ca5f7a5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,1c42c0ce5f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:23:14,1899-12-30T00:00:00,0,,,2014-10-29T03:23:14,34dd2db85f4d11e4925a6817294aebff,0,,53ca5f7a5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,25f7a2f05f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:23:14,1899-12-30T00:00:00,0,,,2014-10-29T03:23:14,34dd2db95f4d11e4925a6817294aebff,0,,53ca5f7a5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,25f7a2f15f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:23:14,1899-12-30T00:00:00,0,,,2014-10-29T03:23:14,34dd2dba5f4d11e4925a6817294aebff,0,,53ca5f7a5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,2dcd36bd5f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:23:14,1899-12-30T00:00:00,0,,,2014-10-29T03:23:14,34dd2dbb5f4d11e4925a6817294aebff,0,,53ca5f7a5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,2dcd36be5f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:16:30,1899-12-30T00:00:00,0,,,2014-10-29T03:16:30,43e191f75f4c11e4925a6817294aebff,0,,43e191fb5f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,33d313395f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:16:30,1899-12-30T00:00:00,0,,,2014-10-29T03:16:30,43e191f85f4c11e4925a6817294aebff,0,,43e191fb5f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3c8cefdc5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:16:30,1899-12-30T00:00:00,0,,,2014-10-29T03:16:30,43e191f95f4c11e4925a6817294aebff,0,,43e191fb5f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3c8cefdd5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:09:21,1899-12-30T00:00:00,0,,,2014-10-29T03:09:21,4426b8b05f4b11e4925a6817294aebff,0,,617edfdc5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3531763e5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:09:21,1899-12-30T00:00:00,0,,,2014-10-29T03:09:21,4426b8b15f4b11e4925a6817294aebff,0,,617edfdc5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3531763f5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:09:21,1899-12-30T00:00:00,0,,,2014-10-29T03:09:21,4426b8b25f4b11e4925a6817294aebff,0,,617edfdc5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3cebb9765f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:09:21,1899-12-30T00:00:00,0,,,2014-10-29T03:09:21,4426b8b35f4b11e4925a6817294aebff,0,,617edfdc5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3cebb9775f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:24:02,1899-12-30T00:00:00,0,,,2014-10-29T03:24:02,516d9bc95f4d11e4925a6817294aebff,0,,9111753d5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,42c78bf05f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:24:02,1899-12-30T00:00:00,0,,,2014-10-29T03:24:02,516d9bca5f4d11e4925a6817294aebff,0,,9111753d5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,42c78bf15f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:24:02,1899-12-30T00:00:00,0,,,2014-10-29T03:24:02,516d9bcb5f4d11e4925a6817294aebff,0,,9111753d5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,4a5eb6445f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:24:02,1899-12-30T00:00:00,0,,,2014-10-29T03:24:02,516d9bcc5f4d11e4925a6817294aebff,0,,9111753d5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,4a5eb6455f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:16:55,1899-12-30T00:00:00,0,,,2014-10-29T03:16:55,5308ba945f4c11e4925a6817294aebff,0,,3917d35e5e8a11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,4baff9ba5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:16:55,1899-12-30T00:00:00,0,,,2014-10-29T03:16:55,5308ba955f4c11e4925a6817294aebff,0,,3917d35e5e8a11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,4baff9bb5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:17:44,1899-12-30T00:00:00,0,,,2014-10-29T03:17:44,6c4a18505f4c11e4925a6817294aebff,0,,d33d56135e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,5ab9aed95f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:17:44,1899-12-30T00:00:00,0,,,2014-10-29T03:17:44,6c4a18515f4c11e4925a6817294aebff,0,,d33d56135e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,646bf8e15f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:17:44,1899-12-30T00:00:00,0,,,2014-10-29T03:17:44,6c4a18525f4c11e4925a6817294aebff,0,,d33d56135e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,646bf8e25f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:17:44,1899-12-30T00:00:00,0,,,2014-10-29T03:17:44,6c4a18535f4c11e4925a6817294aebff,0,,d33d56135e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,6c4a184f5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:10:52,1899-12-30T00:00:00,0,,,2014-10-29T03:10:52,76f5e7965f4b11e4925a6817294aebff,0,,cb16c1495e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,5e9242eb5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:10:52,1899-12-30T00:00:00,0,,,2014-10-29T03:10:52,76f5e7975f4b11e4925a6817294aebff,0,,cb16c1495e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,675bd7395f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:10:52,1899-12-30T00:00:00,0,,,2014-10-29T03:10:52,76f5e7985f4b11e4925a6817294aebff,0,,cb16c1495e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,675bd73a5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:10:52,1899-12-30T00:00:00,0,,,2014-10-29T03:10:52,76f5e7995f4b11e4925a6817294aebff,0,,cb16c1495e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,6f2d25375f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:10:52,1899-12-30T00:00:00,0,,,2014-10-29T03:10:52,76f5e79a5f4b11e4925a6817294aebff,0,,cb16c1495e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,6f2d25385f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:10:52,1899-12-30T00:00:00,0,,,2014-10-29T03:10:52,76f5e79b5f4b11e4925a6817294aebff,0,,cb16c1495e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,76f5e7955f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:18:17,1899-12-30T00:00:00,0,,,2014-10-29T03:18:17,83956b105f4c11e4925a6817294aebff,0,,d9aee7db5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,72545b445f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:18:17,1899-12-30T00:00:00,0,,,2014-10-29T03:18:17,83956b115f4c11e4925a6817294aebff,0,,d9aee7db5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,7bc3f6025f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:18:17,1899-12-30T00:00:00,0,,,2014-10-29T03:18:17,83956b125f4c11e4925a6817294aebff,0,,d9aee7db5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,7bc3f6035f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:18:17,1899-12-30T00:00:00,0,,,2014-10-29T03:18:17,83956b135f4c11e4925a6817294aebff,0,,d9aee7db5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,6c4a184f5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:19:04,1899-12-30T00:00:00,0,,,2014-10-29T03:19:04,9c1ee7cb5f4c11e4925a6817294aebff,0,,ef042f9f5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,8bae23595f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:19:04,1899-12-30T00:00:00,0,,,2014-10-29T03:19:04,9c1ee7cc5f4c11e4925a6817294aebff,0,,ef042f9f5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,d5086c3b5f4a11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:19:04,1899-12-30T00:00:00,0,,,2014-10-29T03:19:04,9c1ee7cd5f4c11e4925a6817294aebff,0,,ef042f9f5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,8bae235a5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:19:04,1899-12-30T00:00:00,0,,,2014-10-29T03:19:04,9c1ee7ce5f4c11e4925a6817294aebff,0,,ef042f9f5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,941b175f5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:19:04,1899-12-30T00:00:00,0,,,2014-10-29T03:19:04,9c1ee7cf5f4c11e4925a6817294aebff,0,,ef042f9f5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,941b17605f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:19:04,1899-12-30T00:00:00,0,,,2014-10-29T03:19:04,9c1ee7d05f4c11e4925a6817294aebff,0,,ef042f9f5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,9c1ee7ca5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:12:08,1899-12-30T00:00:00,0,,,2014-10-29T03:12:08,a41355125f4b11e4925a6817294aebff,0,,424ed77d5e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,a41355115f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:05:11,1899-12-30T00:00:00,0,,,2014-10-29T03:05:11,af70eac15f4a11e4925a6817294aebff,0,,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,891f655f5f4a11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:05:11,1899-12-30T00:00:00,0,,,2014-10-29T03:05:11,af70eac25f4a11e4925a6817294aebff,0,,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,891f65605f4a11e4925a6817294aebff,PROCESS,32,32,32
