@NAME,@ALLOWAUTOMATICDELETION,@VALIDATED,@TEMPLATE,@EXPORTFLAG,@DATEVALIDATED,@DESCRIPTION,@TYPE,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-12T19:48:00,2021-05-12T19:48:00,f434ce87b35a11eb80ff000d3a02ed0d,f434ce8ab35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-12T19:48:01,2021-05-12T19:48:01,f434ce8cb35a11eb80ff000d3a02ed0d,f434ce8fb35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-12T19:48:01,2021-05-12T19:48:01,f434ce91b35a11eb80ff000d3a02ed0d,f434ce93b35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-12T19:48:01,2021-05-12T19:48:01,f434ce95b35a11eb80ff000d3a02ed0d,f434ce97b35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-12T19:48:01,2021-05-12T19:48:01,f434ce99b35a11eb80ff000d3a02ed0d,f434ce9bb35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-12T19:48:01,2021-05-12T19:48:01,f434ce9db35a11eb80ff000d3a02ed0d,f434cea0b35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-12T19:48:02,2021-05-12T19:48:02,f434cea7b35a11eb80ff000d3a02ed0d,f434ceaab35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-12T19:48:02,2021-05-12T19:48:02,f434ceacb35a11eb80ff000d3a02ed0d,f434ceaeb35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-12T19:48:02,2021-05-12T19:48:02,f434ceb0b35a11eb80ff000d3a02ed0d,f434ceb2b35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-12T19:48:02,2021-05-12T19:48:02,f434ceb4b35a11eb80ff000d3a02ed0d,f434ceb6b35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:30:55,2021-05-13T17:30:55,f8401787b41011eb80ff000d3a02ed0d,5862dc404f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:30:56,2021-05-13T17:30:56,f8401788b41011eb80ff000d3a02ed0d,5f91e036f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:30:56,2021-05-13T17:30:56,f8401789b41011eb80ff000d3a02ed0d,169840da82c811e980e2000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:30:57,2021-05-13T17:30:57,f840178ab41011eb80ff000d3a02ed0d,169840ca82c811e980e2000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:30:57,2021-05-13T17:30:57,f840178bb41011eb80ff000d3a02ed0d,169840d082c811e980e2000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:30:58,2021-05-13T17:30:58,f840178cb41011eb80ff000d3a02ed0d,169840d382c811e980e2000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:30:58,2021-05-13T17:30:58,f840178db41011eb80ff000d3a02ed0d,5862dc0d4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:30:59,2021-05-13T17:30:59,f840178eb41011eb80ff000d3a02ed0d,5e5be0454f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:30:59,2021-05-13T17:30:59,f840178fb41011eb80ff000d3a02ed0d,658c73e8f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:30:59,2021-05-13T17:30:59,f8401790b41011eb80ff000d3a02ed0d,5f91e14ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:00,2021-05-13T17:31:00,f8401791b41011eb80ff000d3a02ed0d,5862dbcb4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:00,2021-05-13T17:31:00,f8401792b41011eb80ff000d3a02ed0d,5862dbce4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:01,2021-05-13T17:31:01,f8401793b41011eb80ff000d3a02ed0d,5862dbc54f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:01,2021-05-13T17:31:01,f8401794b41011eb80ff000d3a02ed0d,5862dbc24f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:02,2021-05-13T17:31:02,f8401795b41011eb80ff000d3a02ed0d,5862dbc84f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:02,2021-05-13T17:31:02,f8401796b41011eb80ff000d3a02ed0d,5862dc774f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:03,2021-05-13T17:31:03,f8401797b41011eb80ff000d3a02ed0d,658c7428f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:03,2021-05-13T17:31:03,f8401798b41011eb80ff000d3a02ed0d,658c7434f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:04,2021-05-13T17:31:04,f8401799b41011eb80ff000d3a02ed0d,658c75f3f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:04,2021-05-13T17:31:04,f840179ab41011eb80ff000d3a02ed0d,658c75f6f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:04,2021-05-13T17:31:04,f840179bb41011eb80ff000d3a02ed0d,2bd33d5852be11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T17:31:05,2021-05-13T17:31:05,f840179cb41011eb80ff000d3a02ed0d,2bd33d5b52be11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:11,2021-05-13T09:24:11,f908babbb3cc11eb80ff000d3a02ed0d,658c74b0f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:11,2021-05-13T09:24:11,f908babeb3cc11eb80ff000d3a02ed0d,658c74bcf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:11,2021-05-13T09:24:11,f908bac1b3cc11eb80ff000d3a02ed0d,658c74bff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:11,2021-05-13T09:24:11,f908bac4b3cc11eb80ff000d3a02ed0d,658c74c2f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:12,2021-05-13T09:24:12,f908bac7b3cc11eb80ff000d3a02ed0d,658c74c5f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:12,2021-05-13T09:24:12,f908bacab3cc11eb80ff000d3a02ed0d,658c74c8f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:12,2021-05-13T09:24:12,f908bacdb3cc11eb80ff000d3a02ed0d,658c74cef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:12,2021-05-13T09:24:12,f908bad0b3cc11eb80ff000d3a02ed0d,658c74d1f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:13,2021-05-13T09:24:13,f908bad3b3cc11eb80ff000d3a02ed0d,658c74d7f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:13,2021-05-13T09:24:13,f908bad6b3cc11eb80ff000d3a02ed0d,658c74dbf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:13,2021-05-13T09:24:13,f908bad9b3cc11eb80ff000d3a02ed0d,658c74def4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:13,2021-05-13T09:24:13,f908baddb3cc11eb80ff000d3a02ed0d,658c74e1f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:14,2021-05-13T09:24:14,f908bae0b3cc11eb80ff000d3a02ed0d,658c74e4f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:15,2021-05-13T09:24:15,f908bae4b3cc11eb80ff000d3a02ed0d,9ea81328e02b11e780d0000d3a02ed0d,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:15,2021-05-13T09:24:15,f908bae7b3cc11eb80ff000d3a02ed0d,658c74ebf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:15,2021-05-13T09:24:15,f908baebb3cc11eb80ff000d3a02ed0d,658c74eff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:16,2021-05-13T09:24:16,f908baeeb3cc11eb80ff000d3a02ed0d,658c74f2f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:17,2021-05-13T09:24:17,f908baf2b3cc11eb80ff000d3a02ed0d,9ea8132be02b11e780d0000d3a02ed0d,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:17,2021-05-13T09:24:17,f908baf5b3cc11eb80ff000d3a02ed0d,658c74f8f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:18,2021-05-13T09:24:18,f908baf8b3cc11eb80ff000d3a02ed0d,658c74fbf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
